"sex","sport","test_type","metric","n","family","AIC","BIC","CRPS","CRPS_rel","Wasserstein1","W1_rel","KS_D","CvM_W2","AD_A2"
"Male","Football","SLLAH","Drop.Landing_Left_SLLAH",222,"NO",2777.2,2790.8,65.38,0.3793,26.45,0.1535,0.1041,0.4109,3.679
"Male","Football","SLLAH","Peak.Drop.Landing.Force_Left_SLLAH",222,"BCCGo",3430.3,3447.3,302.5,0.4272,50.39,0.07118,0.03996,0.04638,0.3122
"Male","Football","SLLAH","Peak.Drop.Landing.Force_Right_SLLAH",225,"BCCGo",3478.7,3495.7,311.8,0.3735,23.73,0.02843,0.02804,0.01502,0.1191
"Male","Football","SLLAH","Drop.Landing_Right_SLLAH",225,"NO",2777.7,2791.4,60.56,0.3435,24.22,0.1374,0.1085,0.4517,4.014
"Male","Football","SJ","Peak.Power_Both_SJ",188,"NO",2776.1,2789.1,236.9,0.2115,101,0.0902,0.08536,0.3063,1.942
"Male","Football","SJ","Force.at.Peak.Power_Both_SJ",188,"BCCGo",2186.6,2202.8,60.32,0.3012,44.07,0.22,0.03723,0.03295,0.3198
"Male","Football","SJ","Takeoff.Peak.Force_Both_SJ",188,"BCCGo",2237.8,2254,66.32,0.3035,45.18,0.2067,0.05929,0.1104,0.8236
"Male","Football","SJ","Concentric.Peak.Force_Both_SJ",188,"BCCGo",2237.8,2254,65.67,0.2996,45.54,0.2078,0.06339,0.1111,0.8318
"Male","Football","SLHAR","Peak.First.Landing.Force_Left_SLHAR",165,"BCCGo",2417.9,2433.4,206.6,0.2278,98.7,0.1088,0.04084,0.04431,0.3069
"Male","Football","SLHAR","Peak.Takeoff.Force_Left_SLHAR",165,"BCCGo",2387.1,2402.7,189.3,0.2144,89.28,0.1011,0.06467,0.07696,0.5129
"Male","Football","SLHAR","Peak.Takeoff.Force_Right_SLHAR",163,"BCCGo",2368.7,2384.2,194.4,0.2368,89.66,0.1092,0.0621,0.1106,0.6297
"Male","Football","SLHAR","Peak.First.Landing.Force_Right_SLHAR",163,"BCCGo",2399.1,2414.6,213.6,0.2382,88.47,0.09869,0.06096,0.08832,0.562
"Male","Football","SLDJ","Concentric.Impulse_Right_SLDJ",156,"BCCGo",1501.4,1516.7,16.79,0.2208,7.924,0.1042,0.05988,0.09213,0.5209
"Male","Football","SLDJ","Positive.Impulse_Right_SLDJ",156,"BCCGo",1811,1826.3,46.12,0.2178,21.21,0.1002,0.06428,0.06018,0.3721
"Male","Football","SLDJ","Positive.Impulse_Left_SLDJ",155,"BCCGo",1798.1,1813.4,45.25,0.2297,20.58,0.1045,0.03642,0.03369,0.2234
"Male","Football","SLDJ","Concentric.Impulse_Left_SLDJ",155,"NO",1464.2,1476.4,15.94,0.2127,10.07,0.1343,0.07359,0.1273,0.593
"Male","Badminton","CMJ","Jump.Height..FT..Relative.Peak.Landing.Force_Both_CMJ",85,"NO",1017.2,1027,49.53,0.3946,26.44,0.2107,0.1816,0.7752,4.762
"Male","Badminton","CMJ","Eccentric.Mean.Force_Both_CMJ",85,"BCCGo",939.3,951.5,33.92,0.4354,11.68,0.1499,0.07262,0.08627,0.6946
